"","p_cntrl2730","p_cncr5987","p_cntrl5081","p_cncr1718","p_cncr2573","p_cncr2035","p_cntrl2972","p_cncr6812","p_cntrl9873","p_cncr4188","p_cncr9002","p_cncr9466","p_cncr8865","p_cntrl5767","p_cncr2978","p_cntrl6376","p_cntrl8387","p_cncr3595","p_cncr4026","p_cncr9591","p_cntrl8413","p_cncr9070","p_cncr6166","p_cncr1817","p_cntrl6666","p_cncr2162","p_cncr1856","p_cncr2882","p_cncr1259","p_cntrl5277"
"10011100101111011101",6454,1181041,5427,38730,6833,24650,212205,2288795,83432,530875,3511,30404,24681,4288,101604,8628,183085,565772,6430116,26791,4940,1063,125451,2404688,3175777,103959,485723,695510,14123,6380
"00111001001011010011",60419,149923,1172121,5955,4435,184030,2637089,11081,3895143,44756,32868,9366,882743,8219,45804,1826526,364894,59282,6764713,594259,131750,471496,1506,689233,959,3,209997,1431379,168634,49060
"11100101110110100111",234446,227305,1737055,86345,252,15875,6046392,14838,21831,887,12394,5700,9541,93849,862033,59218467,8279059,52,2306,10,99145,893,445,52035,52375,259987,2040,3489,169481,979850
"00000111101110011111",10955,312959,3576,538806,227406,3375109,166271,18850,15243,220540202,22529,6239,4190463,139,839650,51994,5924,51333,44554,126574,282053,3,406833,21145,22391,944,54198,615198,1299,17757
"11100000001101011111",8304,502139,1360,75,325,24847,669295,6300,13697,63226,810502,18177,59325,14838,225993,1619,41669,51104,193178,322289,1303277,3107,17624,67348,2401654,3464,49104,232419,178648,81197
"11000011110010101001",23871,244653,200126,27118,771776,44469,114482,67129,12143,53927,5069,51295,3446,32472,440501,35538,26612,2536552,70304,2148,2439,1720898,218845,2646567,34966,42536,493,441162,1110,8188
"01101100101110101110",98001,88370,135369,185285,25054,3044,405199,659828,283082,10636,305844,3169,1525,364387,3839,30650,7655202,890,24768,331,29897,3024,199792,233891,80496,396,11682,8655,113,1499848
"00111111111110100011",2679,53223,84599,243162,197745,1076,808066,6144,54529,1014,114555,1556546,683923,2360768,10012,24207,490,124098,20771,219463,97322,140000,390209,1146910,626836,418908,13073,7069,62,50473
"00101001100110000011",33574,37135,11050,55626,51,76223,4003681,82460,23086,44357,214742,474535,56040,7332,21441,291813,51092,285,2186,126,49351,252,5760,4361128,736950,32629,18482,59,49554,13898
"00011111101011000101",90700,7970,262127,686329,29965,233796,3626756,21023,833920,45848,140148,363718,42624,11631,117030,252468,6360,56678,120118,366346,8999481,3103,1774,225402,437320,139,11741924,403197,3324,52310
"00010010011101111110",496734,6433,600422,273181,124473,2367,937,56499,1156836,3145588,93972,2676031,196188,8,55342,1641556,3353,29137,345893,601102,13331727,42,143680,115993,126629,28051,268271,282057,8888,11033
"11100111001111011111",34933,433203,11323,117571,2094754,270812,158625,28522,7813,90,108157,3048883,5645,115386,503470,106064,15908,1215804,28445,255864,567024,744605,410378,30023,463657,26768,46297,1377554,148,5988
"11110100111100000110",96544,441150,266461,16510,2253,76193,1917974,45117,3176,62344,119841,168847,12005,517487,10638,12771,88820,59,2833,3180,9258,923803,37863,306702,48642,95990,50364,106,15462,75328
"10110000011001000000",145049,28496,32048,772294,1581,33307,485391,4110,19108,259567,2353,29043,3433,2458860,2295,19584,4943,66,61,339403,504925,127198,630,509739,4312,8630,75679,155,268,31741
