,variables,p_cntrl2730,p_cncr5987,p_cntrl5081,p_cncr1718,p_cncr2573,p_cncr2035,p_cntrl2972,p_cncr6812,p_cntrl9873,p_cncr4188,p_cncr9002,p_cncr9466,p_cncr8865,p_cntrl5767,p_cncr2978,p_cntrl6376,p_cntrl8387,p_cncr3595,p_cncr4026,p_cncr9591,p_cntrl8413,p_cncr9070,p_cncr6166,p_cncr1817,p_cntrl6666,p_cncr2162,p_cncr1856,p_cncr2882,p_cncr1259,p_cntrl5277
0,c_1_0_00,0.23721574522926295,0.2799896352364001,0.2175256223395924,0.23331666896676018,0.1949544608014476,0.24148168611144796,0.14439010139830977,0.19796173466193448,0.1840775304085728,0.35773099624081306,0.20548221906719571,0.2544191620674882,0.26580638960738373,0.20564669641974134,0.301167489702693,0.20129194076172388,0.12717809438937372,0.20468952479599675,0.21725585182816445,0.35323025980907025,0.2078302432220168,0.1981232039865654,0.19718902817086223,0.33268363650689514,0.2360891537892981,0.1414683793546229,0.2866156062770515,0.3030652429970671,0.1271677793816931,0.1877434945091193
1,c_1_0_01,0.23163234799893379,0.15989164868310607,0.2435417421902628,0.44825941491778853,0.1890131863494548,0.24892129890390727,0.2098847751598279,0.20766275815416232,0.23051340514446025,0.22840658565564034,0.30537058028334124,0.24876665902318398,0.29406223356201566,0.21889155592906298,0.38753737234453783,0.16798712688518255,0.16411671880867298,0.2575119678375353,0.23940818586324736,0.31737185505598403,0.2644191729192629,0.1553255373312752,0.23798892464935975,0.36168737499365233,0.25000243471722056,0.1972186989369477,0.2851688164911191,0.26998864693068253,0.19402439149788825,0.1990139889377549
2,c_1_0_10,0.23263032988397606,0.29308391918617044,0.25245025007686994,0.14029747902390502,0.3204424939508506,0.2976454746611907,0.44763598502665036,0.30233917543769817,0.3203826845957884,0.2068208305102587,0.2692354348750625,0.25419879055689115,0.26050823075663143,0.3062074226785214,0.17415598361367912,0.3795616869210883,0.3066740851590787,0.2609703476364187,0.2422798194398681,0.14970538057154517,0.2817455041645,0.338916982007897,0.30952271876157605,0.1400729780181825,0.2512762128580075,0.2781335405656937,0.17478227633078336,0.21357540034549677,0.28357742209644415,0.3188054018805857
3,c_1_0_11,0.2985215768878272,0.2670347968943234,0.28648238539327486,0.17812643709154627,0.29558985889824696,0.21195154032345412,0.19808913841521197,0.292036331746205,0.26502637985117855,0.2070415875932879,0.21991176577440055,0.2426153883524366,0.17962314607396918,0.2692543249726743,0.13713915433909002,0.25115924543200524,0.4020311016428746,0.27682815973004926,0.3010561428687201,0.17969250456340055,0.24600507969422025,0.3076342766742624,0.25529932841820197,0.16555601048127003,0.2626321986354739,0.38317938114273564,0.25343330090104604,0.21337070972675362,0.3952304070239745,0.2944371146725401
4,c_2_0_00,0.2533818283488026,0.24212358769038467,0.22975214508340033,0.22200672045646097,0.19195284741618743,0.26951802562760646,0.31228734539747993,0.23673330809150056,0.1854600742226542,0.33675528944190813,0.22280882484814982,0.17579188209464378,0.23989255819913172,0.2068270080526132,0.3133102558119517,0.2208417514181479,0.17197219335250133,0.30190583403436255,0.22769147596733136,0.30643527321586544,0.22920133178253982,0.15088749668128207,0.23022488642330938,0.3284747205381434,0.2502026693973497,0.15992554039584433,0.2994630983760615,0.2544639028377323,0.15077936407405937,0.22262480343002955
5,c_2_0_01,0.29646933847933327,0.1620449089582668,0.18146071913270198,0.404206533947115,0.19275141086507813,0.2655327145849149,0.16900848322042117,0.23743787119019796,0.22387317331928427,0.2672436599040007,0.25691256590502526,0.22543391685406733,0.2866314798129829,0.19337039362497369,0.34355625543856233,0.19145358406250768,0.19300207587647206,0.2464692731549786,0.28371475939576796,0.2639633372658951,0.1769793820987186,0.17511438675720933,0.24330739491764047,0.4001239011050509,0.24063322193259098,0.1546650502693505,0.32331103173173037,0.2427302948089661,0.13987623979996086,0.16211482835358493
6,c_2_0_10,0.21646424676443643,0.33094996673218585,0.24022372733306202,0.15160742753420423,0.3234441073361108,0.2696091351450322,0.2797387410274802,0.26356760200813206,0.31900014078170696,0.2277965373091636,0.2519088290941084,0.3328260705297356,0.2864220621648834,0.30502711104564956,0.16201321750442046,0.3600118762646643,0.2618799861959511,0.16375403839805286,0.23184419530070116,0.19650036716474997,0.260374415603977,0.3861526893131803,0.2764868605091289,0.14428189398693422,0.2371626972499559,0.2596763795244723,0.16193478423177338,0.2621767405048316,0.25996583740407786,0.28392409295967547
7,c_2_0_11,0.2336845864074277,0.2648815366191627,0.34856340845083567,0.22217931806221985,0.2918516343826236,0.1953401246424465,0.2389654303546187,0.2622612187101694,0.27166661167635453,0.16820451334492756,0.26836978015271656,0.26594813052155325,0.1870538998230019,0.29477548727676356,0.18112027124506552,0.22769278825468012,0.37314574457507554,0.28787085441260596,0.25674956933619947,0.23310102235348948,0.33344487051476457,0.2878454272483283,0.24998085814992121,0.12711948436987142,0.2720014114201034,0.42573302981033284,0.21529108566043473,0.24062906184847002,0.4493785587219019,0.33133627525671006
8,c_2_1_00,0.22291761025029455,0.20333264882847668,0.14208462797602117,0.4732545428432139,0.04712436538973102,0.30911702454946294,0.11110727110223194,0.13950226976579563,0.13736099820093556,0.4306030683088978,0.25455696405862815,0.2223282189479258,0.3605168583312176,0.1024375742053308,0.4857028632330599,0.14378322996745463,0.04982184507743105,0.23357880786676471,0.22999343828207516,0.4072969971186636,0.1299764330659385,0.0019732988744658167,0.15104517595959494,0.559388013320836,0.22216089195917932,0.029375416088885026,0.4117078414322899,0.3078862520447801,0.005525246846280303,0.08304578209257853
9,c_2_1_01,0.3269335565778413,0.20083584782017477,0.26912823624008114,0.152958711560362,0.33757989289153456,0.2259337156630584,0.37018855751566915,0.3346689095159029,0.2719722493410029,0.17339588103701106,0.2251644266945469,0.17889758000078534,0.16600717968089704,0.2977598274722561,0.1711636480174541,0.2685121055132009,0.3151524241515423,0.31479629932257647,0.2814127970810242,0.163101613363097,0.2762042808153199,0.32402858456402556,0.32248710538135494,0.16921060832235832,0.26867499937076134,0.28521517457630985,0.211066288675502,0.18930794560191827,0.2851303570277399,0.3016938496910359
10,c_2_1_10,0.24593048297790215,0.23654863509102947,0.318982736553834,0.20832154104133482,0.3368432817611714,0.1812859604658923,0.24316760545590574,0.26612222305030114,0.2772299373520975,0.15553451358755563,0.2562958352919088,0.28085760214274647,0.1993517648381818,0.32210067814347354,0.20300199881417094,0.2254958376794518,0.24147296812061564,0.22862268476676736,0.22667059940933662,0.2633051177463907,0.3422729830753412,0.35147544244337475,0.28413277686062705,0.13498299817971143,0.2639306965473393,0.3093116622026856,0.1600765813358807,0.2651676378829695,0.31566692403330104,0.3037117013542957
11,c_2_1_11,0.20421835019396195,0.3592828682603191,0.26980439923006366,0.16546520455508926,0.27845245995756307,0.2836632993215864,0.27553656592619313,0.2597065976680003,0.31343681510596405,0.24046653706653556,0.26398277395491615,0.31791659890854246,0.2741241971497036,0.27770192017893963,0.14013148993531505,0.36220882683989264,0.393552762650411,0.22300220804389148,0.26192316522756404,0.16629627177184872,0.25154630304340037,0.32252267411813385,0.2423349417984231,0.1364183801770942,0.24523341212272,0.3760977471321196,0.2171492885563274,0.23763816447033212,0.3936774720926787,0.3115486668620898
